trial,ARI_dagger_values,eps,min_samples
4,0.25784555580473945,0.0326485609519046,21
5,0.4912614730470768,0.031064780110995033,6
6,0.006493506493506493,0.09774073832262443,3
7,0.17224042091379552,0.08198873912468091,13
8,0.6704441638512846,0.020659376532849386,7
9,0.35843529999412355,0.04068431661059239,8
11,0.5134342814048697,0.023938811996140584,10
12,0.4368980463980464,0.022191312655838284,11
13,0.2583070637652681,0.06218117738934393,10
14,0.1,0.010565597429336293,15
15,0.5833677285047254,0.025606194944856886,8
16,0.3295660325976452,0.05251324760499846,6
17,0.2105057483141554,0.040452344343804826,2
18,0.5298114352967294,0.030318360672003795,8
19,0.05175487777528594,0.07698004282409171,5
20,0.24925213675213675,0.018003315817396254,12
21,0.48991204409625455,0.032235291319680545,8
22,0.5747061925003102,0.02647672128860768,8
23,0.32347246870776286,0.044979122594027726,9
24,0.5357331896373221,0.027667545648497202,4
25,0.11002477914242621,0.016890120817963247,15
26,0.4132547137245279,0.0355144124465257,7
27,0.2532907337760279,0.05801471848284627,11
28,0.3782773109243697,0.024298139327730534,13
29,0.27459654414156265,0.04852723658103572,2
30,0.5414579187627574,0.014633313504671121,4
31,0.5717909058842949,0.016716414236244932,4
32,0.5820593724724495,0.023175415653992476,4
33,0.6351934559248802,0.023460945420415356,7
34,0.6594033207485892,0.022149838339849133,6
35,0.4208933608531132,0.03651841346219792,6
36,0.6770357142857142,0.018863423685432666,7
37,0.11148296148296148,0.0211241142673281,19
0,0.3471408591408591,0.045136991737690355,11
1,0.37890134538663944,0.03903378988430336,8
2,0.5603325500608782,0.02788351057638965,8
3,0.09727180198542427,0.06471749317258338,3
4,0.44018447402270927,0.03441493887579779,6
5,0.09163614163614163,0.01419062905800183,14
6,0.21235860707919532,0.07028011117340233,12
7,0.19817361496880945,0.06390727020147079,6
8,0.3431098901098901,0.034048073669062096,18
9,0.042038812251578205,0.09579599532340513,8
11,0.3506654131708209,0.02669256304501481,3
12,0.2821135531135531,0.02585393828058819,16
13,0.3236968928316216,0.05277565725430397,6
14,0.16404196077059716,0.022157933497778864,2
15,0.33394957493486904,0.04431558127224344,9
16,0.16037587412587415,0.09136103875081002,21
17,0.45979253396802866,0.03401226006606404,5
18,0.13296925417204056,0.08134791720450431,10
19,0.31917221049567446,0.052531526297042254,5
20,0.2111682643597537,0.019303929390624766,14
21,0.46301703280940054,0.03380487564418765,5
22,0.5210803062232933,0.03031730228530751,5
23,0.31882982703570945,0.04427771041222599,8
24,0.5034069558681034,0.029079915296807247,4
25,0.16478969251116332,0.020581279281618882,2
26,0.5648338508301471,0.017048169614544945,4
27,0.15572126286411997,0.015536575804517658,12
28,0.5205442612942612,0.01667875084988041,8
29,0.08885400313971743,0.01040820168150981,11
30,0.3375265615017937,0.048923804167048605,7
31,0.3897147705235941,0.0182202515908532,10
32,0.6217353016780262,0.025397666434537974,7
33,0.36624673677733477,0.040921577656847494,4
34,0.3319783067047492,0.02869542356873361,3
35,0.6168814069487444,0.025728322378608375,7
36,0.3834469968456036,0.03866459117957004,7
37,0.2750711214310286,0.059620512428161763,9
38,0.3638230984701572,0.023510265144225495,13
39,0.3986253206717603,0.037221030023975143,7
40,0.19060844324234416,0.07311061477599526,9
41,0.5156901242891956,0.030311212760675763,6
42,0.5790669666740134,0.02435120667052789,4
43,0.5365955797293481,0.014144878113157781,4
44,0.376463710145283,0.02353689496616456,3
45,0.16562647844292716,0.024642761069876378,2
46,0.1,0.013045606353706333,17
47,0.6765895934131226,0.020906053402196395,7
48,0.7048275033360173,0.019508284050599095,6
49,0.6723920066861243,0.020256364958683756,7
0,0.2040526849037487,0.02458067585351518,18
1,0.18836547061469658,0.07726286252276283,11
2,0.06239445521798464,0.07408947654668038,5
3,0.321952380952381,0.0312990249159566,18
4,0.3163104395604396,0.05339514174435239,24
5,0.44034126984126987,0.02246096107072374,11
6,0.30458731464613814,0.04811690531370456,9
7,0.31047802197802193,0.060877070929709294,23
8,0.3136080586080586,0.057043865046657795,25
9,0.15841727184064644,0.08509234880051267,13
10,0.15298990569376364,0.014234623419085103,2
11,0.34598168498168497,0.03410920868342672,18
12,0.3931220103425986,0.0365712188591112,17
13,0.1,0.010603112520370536,15
14,0.370807364204423,0.04005304844703267,8
15,0.24281817473306833,0.021548910198662438,15
16,0.33445146520146524,0.04024073458870577,21
17,0.4590454822954823,0.02292470526707633,11
18,0.6807286504345328,0.021697372912679456,7
19,0.14157559339525283,0.06783235195810244,6
20,0.017857142857142856,0.09669385556406089,3
21,0.37383683473389356,0.019462270230052505,11
22,0.5352864260782217,0.0266891157212075,9
23,0.5583759135601241,0.028233795462274017,8
24,0.33538958916900086,0.04535500570535478,7
25,0.52884276181335,0.029698951705933868,9
26,0.5426087310902649,0.015756031714948597,4
27,0.5435270845999077,0.01521144233871751,4
28,0.6927357877872415,0.011677097537867397,5
29,0.5608356127876251,0.011766526286318487,6
30,0.14662738890556326,0.011012215443966621,2
31,0.5752044326502531,0.027303457511648907,6
32,0.7140984805939038,0.017676327897233286,6
33,0.6826871495377688,0.018699215752555343,5
0,0.3080851060704002,0.05393287018341003,14
1,0.25168847818847817,0.0718361566602652,22
2,0.301874400393582,0.05646591993776124,7
3,0.08674705523234934,0.09729118551476938,14
4,0.37993681318681316,0.043281150766553804,17
5,0.26212670662670656,0.05961720639794373,14
